A,B,C,D,E,F,G,H,I,J
0.60270444,0.043961624,1.15289859,0.988734378,0.766296263,1.82224802,2.154257769,8.129412831,11.96948088,1.638369592
1.809089133,-0.973124177,0.368816707,0.757552521,1.423138181,-0.17347289,1.594495422,4.120483444,6.829406425,-0.457973953
0.427512262,-1.711978912,-2.839554089,0.544481484,-0.820110001,-3.146656186,-6.798924072,-14.53056753,-22.07258366,-1.885217039
-0.975256566,-0.75002776,-1.71180991,-0.379845783,-0.016270245,-2.280413341,-2.547640728,-7.922196069,-11.88461774,0.546322884
0.700952176,0.837759252,2.008116055,0.489655776,-0.110246933,1.00029178,2.395550103,6.244481701,9.179292314,1.028272204
-0.174415538,1.304030084,-0.615135933,-0.628229016,-0.955916682,-0.927943164,-2.296638445,-2.787116861,-3.58075133,-0.647867358
0.500476403,-1.010849448,-0.669178982,0.616570023,-0.241234307,0.56407666,-1.744879501,-1.211116548,-2.74844678,-0.130534189
0.275367732,0.411238174,1.43446091,0.036706035,-0.769309367,2.755100472,1.727551591,4.43959194,6.465008869,1.118200126
-0.903882181,1.243694579,0.074534564,1.234137928,-0.289329992,1.392668259,0.560040238,5.741821137,8.278838382,1.084730074
-1.4922912,0.476200134,-1.98585735,-0.143211338,0.078373861,-0.867188115,-1.527475826,-2.372046349,-3.529461725,1.44657394
-1.04307533,-0.265498214,-1.088874087,-0.004485266,-1.299759237,-2.465801815,-1.927435627,-6.097625523,-8.714158299,-1.547280295
0.129124062,0.024297474,0.719244641,2.05486929,1.236745001,0.275030472,1.38647488,5.251209815,8.602637159,0.927151759
1.517860117,-0.766341254,0.186071933,-0.861263383,-0.564048249,-0.723839155,-1.469572254,-4.511693829,-7.695729754,-2.411214344
1.541235527,0.270480667,1.948900166,-0.492151781,-1.829049407,1.335922719,3.108748637,6.143257194,6.796689402,0.06844585
-1.837361984,0.787421461,-1.762119198,-1.36184456,-0.864722713,-3.016620711,-1.572409497,-9.019834191,-11.77177243,1.197015825
1.907617452,0.208760719,1.943968235,-1.875412443,-2.728727619,2.165189443,0.809295233,0.551501312,-2.297717505,-1.450819602
-0.259411784,-0.442264505,-0.936262511,-0.854157971,-2.416180569,-2.135818669,-3.769286442,-11.22643124,-17.51335673,-0.914097986
0.216472961,0.722703958,-0.432854598,0.687505201,0.907025942,0.177288038,1.58864146,4.452312486,7.672786906,1.607547443
1.186864092,-0.9595734,0.054993777,-0.052254957,0.328344056,-0.717578646,-2.83895714,-3.878369555,-7.137310347,0.310323877
0.355150823,1.087512216,1.685377409,1.332568509,0.120270818,2.787722924,3.246586154,9.245104565,16.02925353,1.072078057
0.892166872,0.589129581,1.635224249,-1.378587746,-0.632509755,1.590831388,1.513571865,3.608452062,3.544774247,1.112033102
0.387917956,-1.13924155,-1.455776128,0.101329869,-0.213332111,-0.574947109,-2.325340105,-5.846255878,-8.392488558,-1.111006797
0.683985711,0.806254051,0.99997464,-0.999301162,-0.780533406,0.524578714,2.117747327,2.081618091,4.719462697,0.384557261
1.442423155,-0.208278834,2.662376749,-1.20797319,-2.123415283,1.648285069,1.905184595,2.514703121,0.228760176,1.937108072
-0.540176751,1.515153225,0.85811087,1.049321485,2.43907124,-0.481517199,3.696443126,9.553836871,20.0432755,1.472148197
-0.677951667,-1.058268535,-0.248826707,-0.494070295,-0.46947043,-1.544069711,-0.317579642,-5.344852854,-8.295908266,0.198092985
1.23074804,0.201000357,1.568587311,0.373864541,1.776666302,1.443385565,5.624781512,9.925107499,18.2377118,0.553275089
-0.361834753,-0.110902348,0.774797173,1.449892717,1.422445876,2.568417199,1.95078578,6.890893115,12.3241243,-0.54383109
-1.434038305,-0.733326941,-3.011748216,-1.480986679,-2.123505691,-2.995707577,-5.46490147,-15.0884276,-24.86486814,0.040569315
0.464812354,0.09909578,0.794021447,-1.545439079,-0.24498314,1.330487474,1.774181795,-0.067298146,-0.455247339,-1.734343032
-0.989727502,0.603226942,1.126132346,1.279809981,3.434150095,2.720288825,4.273190057,12.42314902,23.04485637,1.463005255
-0.200854929,-0.126460522,0.617915319,0.762064989,0.747024066,-2.411816799,1.779911402,1.172648131,4.131881373,-0.456370645
-1.159880126,-0.588571609,0.043487119,-0.290925616,0.883880451,1.14542102,0.598438314,1.797218334,2.273637271,-2.179967045
-1.69898156,0.271748458,-0.376903082,-0.201957647,0.22113833,0.316340619,-0.310049511,0.771347612,1.067961087,-0.000606043
0.443579611,-1.116231007,-0.138106327,-0.949689049,-1.261555478,-0.188588839,-4.848294127,-8.88072864,-18.50885558,-2.399357047
0.725562047,-2.23120817,-3.546012671,0.603343196,0.450388018,-2.063005649,-4.822332165,-10.28625442,-16.66978028,-1.709622221
-2.158610738,-0.576080938,-2.235909595,1.495356662,1.357482565,-1.369255923,-1.801223066,-3.151491274,-1.267672199,0.109514567
1.52398048,1.389571229,3.58759452,0.145997475,-0.017365254,1.84646708,5.212726855,12.06970744,19.18613585,1.634200257
-0.437357227,2.136107521,1.922357234,-0.95090022,-0.004087075,2.483670882,6.338727904,14.07924307,20.2978614,3.47477224
1.487624332,-1.601688268,1.272609863,-0.334858467,-1.197899838,1.739404162,-1.862222618,-2.256482845,-7.677563145,-2.030217905
1.594356214,-0.753381615,1.054152686,-0.445191701,0.33636495,0.875816785,1.484057946,2.699540325,2.793758559,-0.12585915
0.288020808,0.957096515,1.998696044,-1.384603475,-0.400056903,1.431957651,3.075084199,8.252435395,9.241562547,0.028032745
1.47212073,0.3783649,0.027347048,-0.908693911,-0.103535596,0.736767502,1.10283523,2.06750936,1.117738951,0.85614551
-1.215846413,0.50930003,1.011066809,-0.877883759,-1.5812079,0.884197617,1.164593344,2.102742941,1.920566599,1.021347007
0.068974574,1.640606071,0.289494609,-0.956161717,-2.34412133,-0.78017272,0.195674946,-1.829364467,-2.774986092,-0.354804804
0.88318233,-0.152411256,1.599630019,0.889114232,0.960684403,1.266317565,1.588657523,5.901819372,8.319719189,1.17777277
-0.298259341,0.003491092,-1.088953529,0.581166872,1.904306865,-1.664515233,2.631148281,3.068229214,7.091080464,0.284561924
0.111320859,-0.910097969,-0.013753245,-1.264923052,-2.484997855,-0.391648188,-5.169546438,-10.69700255,-19.9016508,-0.245168459
-2.048949137,-0.83836792,-2.583050093,1.159203775,1.518297055,-4.39599874,-2.594131982,-6.749489554,-6.618858677,-2.273504088
-2.03316699,-1.278433426,-3.979273889,-1.002945031,-0.344332273,-2.873499757,-7.188068946,-17.26155185,-26.5977127,-0.891088929
-0.862322991,2.216749677,2.88991457,-1.446863117,-2.766372338,2.899841606,0.268818601,4.579274178,1.394887563,1.701780537
-0.257634412,1.576728542,1.988614722,0.407447252,0.127314329,0.837889345,4.236626727,9.031960692,15.44635039,1.68625306
-0.351825639,0.503487179,1.348764633,-1.574016224,-2.268983851,1.961925155,1.020176345,0.259904546,-1.991971501,0.506672347
1.749935598,0.281951083,3.024924712,0.921248802,1.536859845,2.727040317,6.117294602,15.39110002,25.47201254,-0.335902349
-0.805626766,0.570755963,0.751107241,-1.517884454,-3.188639314,0.775970006,-0.949504111,-4.319734145,-9.210186852,1.534268195
-1.676602937,1.019834977,0.979092401,-0.089117415,0.627836762,-1.166901967,2.622804003,3.840430291,8.649374753,-0.425072955
0.190526722,0.290089215,-0.183612573,-0.205303599,0.248080871,0.603929217,0.420388046,0.180623059,1.129901734,-0.68868096
-0.426197343,-0.688634926,-1.037385622,1.498616165,3.040951565,-0.927496342,3.120177073,3.698608424,9.184733917,-3.180561145
-1.492461964,-0.286906751,-1.044248971,-2.343924897,-2.32394945,-1.339469399,-4.995187837,-14.08346096,-25.39197574,-0.251148405
0.868880715,0.118137905,-0.647617908,-0.306226149,2.096590788,-1.81886708,1.344061666,0.013360098,3.260308901,0.347932218
-1.168652258,-0.356822953,-0.191618848,-0.117217537,-0.202037831,-0.085603392,-0.766147811,-2.365822724,-3.651621802,0.349168571
-0.525886181,-0.484865104,0.243234144,-0.261367541,-0.681807892,-1.720098244,0.743405721,-3.322754863,-5.130552697,-2.564449858
-1.059955937,-0.132933998,-0.796260412,-0.530808935,-1.194474564,-1.830537241,-1.954630365,-6.187565206,-9.264070475,-1.368398407
2.842084288,0.542737073,5.147709895,0.038523039,0.791411764,4.645480954,5.161179027,16.23366862,22.10917543,0.486662494
-0.299343105,0.494154048,-0.225672009,2.400646043,2.860771923,-1.415710106,4.328747371,8.673635564,19.9008683,-1.584373624
-2.188988122,-0.179652784,-2.897772591,1.490867356,0.777389025,-2.877657265,-3.543770539,-7.149025798,-9.206465272,0.606673235
-0.138602453,0.480646312,0.415321682,-0.233398826,0.002726635,1.159567262,1.916511207,1.406291419,3.828644666,0.384218165
1.950536997,0.883477525,2.427230315,-1.997995522,-3.650000478,0.945893929,0.331173532,-1.330481287,-6.530327512,1.653502626
0.647840689,-1.001340201,-1.594205203,-1.29229381,-0.406092845,-1.298065617,-3.005427807,-9.906332855,-15.220199,-0.225440314
0.235673762,-0.725548392,0.965600755,0.747457506,0.497983602,1.097893364,0.207180921,3.602820346,4.587620687,-0.729320673
-0.818901906,1.300504189,1.071172031,1.966516828,0.226591859,-0.25454124,1.53266104,6.194986941,11.55989998,1.637667236
0.272273304,-1.324935302,-0.609897318,-0.277961786,-0.683604112,-2.334295689,-1.65140934,-7.215789442,-11.07374872,-0.625957105
0.328079432,0.301740778,1.509945593,-0.047089326,0.935687327,1.592821043,2.828638334,8.228812364,13.63151453,-0.742920378
0.865285368,-1.537559536,0.667391545,-0.412715425,0.347973968,-0.517818696,1.027902872,0.152467748,0.605894474,-0.514025911
-0.800573877,1.807026217,-0.71305595,0.151030476,1.237482549,-2.590976862,3.64401858,4.013571339,10.56971894,1.434238463
0.439452322,-0.891464447,0.614966517,1.065756639,0.744656342,-0.552916424,1.756387618,2.551121971,6.053255862,-1.946058528
1.479862973,-0.83565308,1.06632199,-0.149020054,0.669137545,1.382032485,0.974316656,2.335604708,4.519798145,-1.337359485
0.361499497,0.779017703,1.409553055,0.159673557,-0.151549696,2.742669727,1.909698848,7.703369777,10.82600621,0.630205005
0.372731897,-0.19398238,0.34123438,1.55199986,0.25932555,1.914088173,0.700630345,5.883171275,8.342502993,-0.702376667
0.406483296,-1.575426001,-0.272007839,-0.766485747,-0.669293979,-0.194273334,-1.750476603,-3.645228351,-8.943852526,-2.6242834
-0.919704343,-0.102060388,-1.271121128,0.059027605,-1.125626425,-3.24343176,-3.277068375,-9.625763557,-15.29856967,-1.684302287
0.568110034,-0.804007795,0.874044,0.728809052,2.176450968,0.864444321,1.896110764,4.612196246,9.068946068,0.20746313
-1.583519935,0.024942949,-1.376517593,2.009848932,1.528472384,-0.442982137,-0.600211415,-0.255110064,1.479324173,0.094383412
1.36111247,-1.382058635,0.20749411,0.78336299,1.039415786,0.994433624,0.490862597,1.910037442,4.180210033,-1.799492202
0.917452954,0.094225729,-0.163631452,-0.327178102,0.006430069,-2.82260684,0.733797017,-2.353986853,-3.20569714,-1.012201842
-0.873357237,0.119705295,0.844457581,1.184284252,2.683892801,0.764457051,4.132929655,8.882889535,16.72611921,-1.344868207
-0.212052876,-0.10821372,-0.384366705,0.054872415,0.33343032,-1.008748099,-1.193988866,-1.919808952,-1.74018056,0.54908266
-0.317434233,-2.089410114,-2.803744784,-0.599629584,-1.785911566,-4.186351051,-4.580227599,-14.41140762,-22.92452133,-3.896338047
-0.378322705,-0.218977803,1.250519419,0.422456069,1.624019671,0.776582803,3.641193654,8.174050524,13.36766899,0.197683003
-1.109023209,0.346432092,-1.274537665,0.523232644,0.668996888,-2.064328634,-1.273589118,-1.679371554,-1.85726563,2.423497707
0.525103775,0.36945493,1.156714657,0.189852143,1.054522401,1.208478726,2.020287288,5.797414739,11.49698261,-0.817594852
2.736248672,0.291440851,4.313689266,0.534048158,1.150348086,2.597615464,5.798059044,14.42558572,23.05319743,0.237403031
1.4642185,0.671789448,2.423474881,0.396398075,1.500729856,2.616037791,4.476638775,12.84329527,20.0757603,0.395887673
-0.123070525,-1.852412582,-1.229548852,0.438902356,1.473155928,0.339404035,-1.903095916,-1.139175292,-3.536361939,-1.543564879
-1.254736863,0.012586017,-0.035017371,-0.394314305,0.457050632,1.763811871,0.157421547,3.561619514,5.124648908,0.833199631
0.516827224,-1.0323522,-0.797601971,-0.559319681,-1.250722104,-0.244174274,-5.514748461,-10.50032297,-18.86161911,0.786831563
0.181990099,-0.637536346,-0.084577249,-0.299675297,1.08921633,-0.204462748,0.960504687,0.387159136,2.579149294,-1.420432971
-0.068359768,0.367259035,1.016726879,0.315528535,-1.696798454,0.302408494,1.108106501,1.19736938,1.783154237,-0.02691559
-0.24009182,1.551912319,2.037358138,-1.386184469,-0.756120579,3.428679332,3.323058255,8.297241265,11.67422301,0.836377115
-1.71945289,-0.570437599,-1.462600229,0.770312014,0.933953352,-0.564322831,-0.08749957,0.066974845,2.103802945,0.83471493
-0.074490233,0.60408609,2.273935892,-0.102683202,-0.278928234,1.906675143,2.443496168,7.505126045,9.89943947,0.902822058
1.520073491,-0.05126642,1.556104629,-0.514546834,-0.571671029,-0.363943371,1.820731994,1.32991884,0.324173792,0.396903104
-0.810191047,0.508781101,1.11078926,-0.147194783,-0.317491103,3.247045672,1.833471705,6.756238763,9.491871227,1.652092654
0.111375112,1.798301095,1.140777883,-0.017519319,-2.025514873,2.172581906,0.608578719,5.315700241,7.596216152,1.261960156
-1.533163364,-0.706380442,-2.704322348,-0.405464231,0.659483447,-2.80109205,-3.473450832,-9.34730558,-14.86307299,-1.406789281
-0.361494487,-1.053859862,-2.167805409,1.433102083,2.754895164,-0.271849302,-1.125215319,-0.085145106,1.085570869,-2.020869269
-1.188558401,-0.680744368,-2.583069075,-0.382170292,-0.040249228,-1.344729666,-2.840585375,-6.508910258,-11.30630996,-1.396202815
1.08133405,0.406502862,3.449228818,-0.561566565,-0.913142577,1.165934451,3.945926591,6.506689352,9.570806614,1.131481855
-0.727519641,-0.736151707,-0.263584758,-0.286452144,0.400627753,0.288793403,0.226259065,0.158827554,1.796617863,-1.977353044
-1.476714179,-0.629074475,-3.540218758,-0.449262051,-0.021514914,-3.846144767,-2.621398686,-11.61706426,-17.19824712,-1.026417922
1.176372585,-0.794625532,0.974660254,0.214048239,-0.014540148,2.65180501,0.181811528,4.28770824,4.769881631,-0.237686951
0.88555196,1.231422962,2.858559589,-1.183909268,-1.544257056,2.316781993,1.085542723,5.548203008,5.222018947,1.261438903
-0.947678281,-0.333056023,-0.013317357,-0.17503195,-0.431700391,-0.076337538,0.272830315,-2.703509398,-3.122533647,-0.031342059
-0.769366854,-0.528322491,0.010120406,-0.273985453,0.76320343,-0.231618081,0.154965071,-0.13513206,-0.726818313,0.053089284
-0.41411437,-0.571889925,-1.173199851,-0.556905011,-0.751270715,-1.988205011,-2.652236652,-6.488420886,-11.73973448,-0.219616124
0.615520165,-0.758844729,1.434522769,0.474049114,0.290004122,1.623614217,0.754570596,4.691244041,6.040497572,-1.234892642
1.294566602,-1.26907311,1.104936024,-0.017773642,0.056904332,1.640798629,-0.986228012,1.311222654,-0.55202776,-1.583185764
2.570649921,-0.303406334,3.901188711,-0.06952868,0.028971943,4.640669133,3.908980448,13.05029902,17.98580015,0.300396306
0.096473539,1.269862352,-0.282384032,-1.468842456,-0.700723821,-1.126996017,-0.054957116,-3.495676373,-4.065292757,1.005084308
1.056148206,-0.897942472,0.280747229,0.581515127,0.632687876,0.698114161,0.271498004,0.860828457,-0.503061061,-0.668258962
0.779763743,1.618478992,2.258326415,-0.814210332,0.136177478,2.189738217,3.789694605,8.400432005,12.46746191,1.467096905
-0.900279866,1.144420039,0.372387968,1.16713983,0.066008456,1.217831946,1.940778877,7.048316674,11.44881873,1.881576439
-0.748896775,-0.621652767,-1.711590697,0.588478409,0.344226569,-2.603010934,-2.987310839,-5.010070016,-7.395436071,-1.038193885
0.232617823,0.219800768,0.585441885,0.610378788,0.891929581,0.248279359,2.367922052,6.565285715,11.3225737,0.469319794
-0.522259328,-0.463933063,-2.804867818,-0.759597045,-1.75024237,-2.513913814,-3.994924654,-12.79909377,-18.65242947,1.70588745
-0.443806998,-0.568052536,-1.361970966,-0.866394244,-0.83891379,-2.38927019,-0.689041679,-6.558241451,-9.721122436,1.569121338
0.314457062,0.416892373,1.026497622,0.408857384,-1.80662417,-0.212948879,0.869249699,2.337751553,2.867597303,0.413529331
-1.503816383,0.305792668,-0.192048284,0.583207054,0.342006127,0.574086431,1.126650918,2.56031792,3.017496819,2.082984225
0.089554425,-0.980852164,-2.121293973,-1.039197773,-1.701681301,-1.340668378,-5.564630592,-12.35401588,-21.33571513,-1.51032808
0.914716699,-0.336984918,-0.425184088,1.303805627,0.491945852,-4.276852971,-0.984712825,-3.979558893,-5.488759961,0.912667216
-0.111776214,-0.166881765,0.611626431,-1.919247,-1.479057719,0.699409752,-1.373523778,-3.791318826,-8.251580535,0.783617505
-2.266473547,0.85982034,-1.616220341,0.970961485,1.34293299,0.375276826,0.566258374,0.892367028,5.338194643,1.921599112
0.635040189,-0.450892861,0.63829094,0.638684617,1.386004194,-0.752636837,1.541264709,5.084852312,7.182123399,1.470855339
0.264040927,-1.366669073,-1.770039647,0.003032558,-0.574535174,-2.710025173,-3.617504733,-9.663147766,-14.80397721,-2.214610906
0.795144448,0.357790957,1.772906661,1.225000888,2.419978956,-0.479746468,4.266085687,8.801814616,18.0387771,0.194942022
-0.144163286,0.418418197,-0.453894717,-0.09200635,-0.210892698,0.358115858,0.343025161,1.157868972,1.751181088,1.317011397
0.215852339,-1.540707979,0.658326899,-1.683625909,0.027622342,0.121085022,-2.015275726,-4.36752446,-9.846506704,-1.63770897
0.606123096,0.436564473,1.024437103,-0.678499781,0.117007387,1.576456425,1.368715368,4.040476176,3.004756689,1.146012963
0.167061372,-0.82507935,-0.866790882,2.627255243,3.890894628,-1.61743846,2.995217513,7.458500994,16.35434497,-1.699808975
0.628919252,0.900303198,2.021180039,-1.167017195,-0.368182763,0.660456588,3.307750653,3.661471103,6.363843892,1.973472867
-0.071349902,-0.398715854,-0.478078136,0.386944023,-1.455650982,-0.376260286,-0.59924894,-2.622184752,-4.932288485,0.595682144
-1.263246117,0.127062055,-2.51360182,-0.368949981,-1.43670679,-3.371936965,-4.49142965,-12.1562821,-17.89282009,-1.094680502
-1.370839264,0.690318866,-1.442063579,-0.766730358,-0.502501665,-0.097871776,-1.305275476,-4.242413383,-5.75011724,1.270213241
0.708094215,-0.301182667,0.561765695,-0.806641609,-0.850562785,1.037886309,0.986798224,-0.89349713,-1.29142793,1.209225191
0.979006116,-0.241244257,1.173247373,-0.292130939,-1.512383981,2.142482657,-1.069159566,-0.607060018,-3.983030274,1.404504534
-1.634049955,0.043886644,-1.997077506,-2.126390084,-1.294687524,-2.496618914,-4.005125899,-14.15930039,-22.08085349,0.073383043
1.484950171,0.749065691,3.233866216,-0.646163722,-0.831465915,1.108454502,2.732477465,7.027499597,8.488940736,0.347010154
-1.356774817,-0.5455637,-2.331213176,0.217847845,0.174015108,-3.054097783,-3.549538639,-8.851428863,-13.23526814,-0.100411595
-0.961633261,0.427318368,-0.620066213,0.746394588,-0.843858178,-0.535781004,-0.87111769,-3.426554072,-4.358697602,0.825169746
-0.055821047,0.769692978,0.806438378,-0.019777968,-0.66128699,1.687219654,0.328354414,2.237859766,2.637845498,1.824946019
0.469213043,1.156504637,0.57300902,0.457556383,-0.013171241,1.540494261,4.332229197,6.416141293,13.12692407,1.464494684
0.393030556,1.601950388,1.066919465,0.567304463,1.1232552,0.375820012,2.778809575,8.30039869,15.40082469,3.149477502
0.805322062,0.978221552,1.382921613,-1.299916628,0.709600904,0.929115249,4.639777827,8.987773203,13.51018244,2.193601739
-2.648318521,1.495716641,-1.304162562,-0.920186643,-0.787155716,-2.33766003,-0.031067258,-3.275911464,-5.085064194,1.142869259
1.151159234,0.551012455,0.040196129,0.355616994,0.468723111,0.5088875,3.24167142,4.061497877,8.758241786,-1.043203422
-0.726734703,-1.287262621,-2.421179252,-0.058678446,-1.164767484,-1.898437726,-4.502381122,-12.43826621,-19.02407977,-3.089570176
1.398514314,-1.386654243,-0.619793264,1.589931647,-1.283162194,-1.110660848,-2.154840437,-3.9289069,-7.144526419,-1.07936312
-0.595613702,-0.214071669,-1.872542863,-0.1988773,-1.137390558,-2.024560706,-1.350033726,-6.886211611,-9.360112213,-0.475455417
0.811278745,0.729807933,1.80785444,-0.734565536,0.370609814,0.101253984,5.79291635,6.650384082,13.17593918,0.519974361
-0.127033124,0.207820513,-0.789525888,0.503538349,1.682081249,-0.071422822,-0.130163523,-0.132479402,1.494827001,-0.217100531
1.760994508,0.838577451,2.072721236,0.696764744,-0.333884479,0.685123901,3.573522291,8.869007662,14.22307282,0.195301898
-0.721327384,-0.954864251,-3.382651974,0.640782683,0.70632047,-3.206968135,-3.002507308,-10.63358058,-12.03121129,-0.119102172
-1.794528907,-0.138995259,-2.479552229,0.246851934,-0.94310614,-1.395479152,-3.062792827,-7.235439557,-11.21960301,-1.349746595
0.695350076,1.39300423,1.171225607,0.976824669,-0.315734744,3.135334991,3.212135561,9.290302451,13.60451778,2.549141709
1.804189438,1.874188807,4.733583244,0.868585946,1.705819862,4.894992142,7.940451227,20.44878814,33.6023428,1.303512701
-1.35622273,-1.201271191,-2.204322197,-0.001633437,-1.478788216,-3.654969038,-5.973893423,-15.50968714,-25.49831335,-0.558072617
0.050238494,-0.26336147,-2.944223188,-0.089252012,-1.348348295,-3.259160934,-3.227758047,-9.751993555,-14.11492596,0.316785582
-1.138834247,0.125789946,-1.623957986,0.791838914,0.421417774,-0.949539752,-1.153761094,-2.242956172,-1.356563463,0.559117061
0.009524227,-1.076982226,-1.875848802,1.047258528,-0.754134055,-1.569030562,-1.836948867,-6.843146129,-10.81853216,-2.535911827
0.587604852,-0.033272225,1.121959687,-0.215906584,1.047506898,2.094378221,3.192155587,7.59341363,9.591556045,-2.252404883
-1.11266232,1.823332825,-0.276660357,-0.753045621,-0.76302972,0.383437579,-0.285899428,0.699969711,1.877851283,3.231322985
0.711144832,0.191957959,0.698847208,-0.140322046,-1.373200937,-0.044980648,-2.018495532,-2.713363728,-5.628911847,-0.716295626
1.385592642,1.327892712,1.289828143,0.014943731,-1.192730359,1.255548331,1.758907069,4.338471601,7.235126466,0.769833658
-0.101724465,0.695283354,-1.195024317,-0.198443159,-1.24991703,-1.544971248,-0.565574366,-3.707091822,-4.879623958,0.06330955
-0.979372326,1.702951823,1.423934062,-2.394137141,-1.49742872,1.887819577,0.71734889,1.679003167,-0.313611987,0.647860571
0.577027621,-0.12404597,0.044971119,-0.123956151,-0.249032615,-0.033594331,-1.07689589,-2.628293442,-5.311820644,-1.599341443
-1.035197404,-0.741983501,-3.120027879,-0.805714061,-0.625731976,-3.459535624,-5.142796631,-13.58789388,-20.15831207,-1.381435958
-0.691730188,-0.80537886,-2.4490641,1.290552608,0.113671638,-3.820129985,-3.429526437,-9.008551623,-12.37282566,-2.324549941
0.09168235,1.240939096,1.948394459,0.839684034,2.558750971,1.810783997,6.336681663,14.9708541,27.71018081,0.627474602
-0.147770849,1.159417673,1.866063951,1.072057682,1.640683849,0.780691443,6.954328404,13.03025696,23.79424624,1.109463073
-1.135138173,1.045989021,-0.835449613,-0.406307743,1.50155141,0.188885515,1.626648376,2.088924682,5.570256624,0.724938122
-0.632143951,-0.553837137,1.088972439,-1.574309034,-1.817347475,0.638565302,-2.077673096,-5.698981829,-11.31646217,1.142590253
1.480733076,-0.367469007,-0.966177463,-0.019181001,0.605988887,-1.295075263,-1.281962759,-3.983658298,-5.169155615,1.578469752
-1.098070093,-1.484911934,-1.204001015,-1.571645276,-2.488098373,-0.458305151,-3.679218506,-11.16813881,-17.32614611,-1.835623705
1.021711368,1.400899485,1.853876427,-0.156007651,0.642797916,1.79012044,3.635257169,8.906394773,15.48705355,1.989170407
-0.925825237,-0.59759712,-2.80276396,1.081718932,0.293214907,-1.558621752,-3.859402136,-6.722241759,-6.91422376,-0.994134498
-0.036117887,-0.247836549,-0.136531127,-1.248382106,-0.990107166,-1.379746921,-0.223148267,-3.861403482,-7.181120812,-0.464816072
0.296917997,-1.43021534,-1.088271429,0.182400244,0.451460684,-1.809131179,-1.899679132,-5.010098681,-9.197151734,-1.282957143
0.281842295,-0.797436227,-0.503428709,-2.108590081,-2.237795911,0.014327384,-3.114819038,-10.03094967,-19.80176985,-1.443695903
-0.231863091,0.094547515,-2.280555564,-1.491934796,-0.48995507,-1.277916934,-2.517333826,-5.842161721,-10.75782897,0.777085349
-0.374813752,-1.897324649,-0.901950554,1.054227859,1.46412015,0.226672525,-1.821798244,-1.975370795,-2.935385165,-0.918622624
-0.624144318,0.400812576,-0.262022014,0.889115935,2.620190148,1.952872573,2.489764513,7.612578888,12.73260951,-0.020052458
0.584988617,0.813532115,1.509214304,-0.255306024,0.885227073,2.003240375,4.018595363,9.297636375,16.39154545,1.087184869
-0.457190579,0.074104089,0.517805837,0.959454227,0.772876773,1.060271987,1.320472655,5.381787116,8.566819164,-0.430786363
0.860606137,2.328338197,3.384871547,1.406291419,0.44225533,3.967422415,6.69446807,19.32442964,31.55433858,3.434784806
-1.224961674,-0.532440791,-1.938369513,-0.193309176,-0.412368053,-1.602842526,-3.406821758,-8.080625525,-11.59253068,-0.43177735
0.768714828,1.268028223,1.691938135,1.795798767,0.649284086,1.434717335,3.862273351,9.344914357,16.69172554,1.338419371
